time,close,high,low,open,volumefrom,volumeto,buy_signal,sell_signal,hold_signal,12EMA,50EMA,minusDI,plusDI,MACD,MACDsignal,RSI,StoOsci,StoOsci_signal,BB_hband,BB_lband,ATR,ADI,MFI
4/13/2013,93.0,130.0,85.5,117.0,238347.58,26277415.26,1,0,0,133.558605580597,89.02351169682836,25.146847533209215,20.759887569959908,19.127996553520802,24.80861716816141,45.14185757230256,-6.093979441997062,-7.538576012260389,211.79501697072806,66.31641160070046,35.24524746404351,114233476.31227225,47.746081489173456
4/14/2013,90.0,110.0,84.44,93.0,166274.96,16197017.56,1,0,0,126.85728164512054,89.06180535577627,23.959408392768708,19.58601113608405,14.236347360790717,22.69416320668727,44.49630554842737,-17.387096774193548,-17.506418454833938,212.14093740656574,65.53763402200566,34.55344407375468,105083048.55145848,45.44503138202457
4/15/2013,82.39,102.0,71.51,90.0,236673.01,20607774.11,1,0,0,120.01616139202507,88.80016593005956,25.223837220436874,18.243578354385935,9.634555573201155,20.082241679990048,42.82336429867978,-23.820312499999996,-15.767129572063498,214.28430702674905,60.307121544679504,34.26319806848649,99182560.91681433,41.923977774141164
4/16/2013,68.36,84.5,50.01,82.39,572349.32,37401572.39,1,0,0,112.06905963940582,87.99859079554743,28.11808658000213,16.82085956334539,4.80016536271701,17.02582641653544,39.84875971906906,-23.70446735395189,-21.637292209381773,218.1797927481141,49.32306439474304,34.27939820645174,101579124.41295524,37.681874392009895
4/17/2013,93.07,98.78,63.3,68.36,327630.05,27937764.27,1,0,0,109.14612738718954,88.19746958787891,25.855328717194592,18.70612324584654,2.9290030569221273,14.206461744612778,46.85108982035494,-14.570446735395192,-20.698408863115656,217.73156413397,43.781293008887104,34.36515547741947,120524519.23641069,37.39445857145591
4/18/2013,109.01,113.0,86.0,93.07,172976.43,16845410.83,0,1,0,109.1251847122373,89.01364725109936,24.236185375187777,20.832841044417265,2.70118070273044,11.905405536236312,50.8277487218847,1.0309278350515463,-12.41466208476514,216.78900727467408,41.42242129675442,33.83907294331808,132391175.30998847,41.68571702474256
4/19/2013,118.48,136.43,105.54,109.01,257166.23,30713924.42,0,0,1,110.56438706420079,90.16919049615429,22.47923510449718,24.821176713525663,3.247346314657406,10.173793691920531,53.07412597547406,14.460481099656361,0.3069873997709441,214.91930765477,39.886406630944236,33.628424875938215,127409732.72843456,45.062169524540536
4/20/2013,126.62,132.0,115.0,118.48,74363.62,9222871.37,0,1,0,113.03448136201605,91.59863400610902,21.541685078549982,23.785950436313477,4.287591779105512,8.996553309357529,54.978034846331965,20.962199312714777,12.151202749140934,213.36741276313916,39.151158665432234,32.44068024194263,130795069.04306987,46.09235165839577
4/21/2013,119.2,130.5,110.0,126.62,99132.19,12044404.11,0,1,0,113.98302269093666,92.68104051567337,21.68984616586589,22.548780169745058,4.461828632686164,8.089608374023255,52.87219512924727,17.52577319587629,17.649484536082515,207.9924457735173,38.36898279791126,31.5877745103753,129561252.03667963,42.57845266159514
4/22/2013,127.4,127.4,118.5,119.2,59153.12,7289977.32,0,1,0,116.04717304617716,94.04256833858815,21.168385673670294,22.00666945509047,5.201622992241511,7.512011297666907,54.92689415785905,23.367697594501717,20.61855670103097,195.97488669056904,41.80082759514522,29.967219188205636,136851229.35667962,38.33303516410493
4/23/2013,143.48,144.02,124.97,127.4,116144.9,15637961.69,0,1,0,120.2676079621499,95.9812911488396,20.043196715658947,25.474313678317067,7.004691245542816,7.410547287242089,58.726985769956535,50.27329192546584,30.388920905281324,162.05388617896767,63.36182810674659,29.18741781761952,151602629.43905753,33.47659901390581
4/24/2013,154.2,166.43,140.97,143.48,225896.5,34351545.24,0,1,0,125.487975967973,98.26437777045373,18.601611646696586,29.97287447784317,9.19268271185534,7.76697437216474,61.08264938034145,81.01865136298423,51.55321362765064,158.23177027300062,65.64108686985651,28.92117368778955,152951865.30865687,49.58749315136054
4/25/2013,141.71,162.0,120.09,154.2,187652.82,26847891.93,0,1,0,127.98367197290023,99.9681276618085,22.172624668241287,26.544448230930872,9.805807846865363,8.174741067104865,57.00059477740503,51.06169296987089,60.784545419440356,161.539128311444,64.73515740284171,29.848946995804585,153803874.2866311,48.03412314594262
4/26/2013,136.9,144.99,121.45,141.71,129008.48,17061324.92,0,1,0,129.3554147463002,101.41643638095327,20.720374687455045,24.805855032780265,9.790725740712361,8.497938001826364,55.463379838074374,53.012912482066014,61.69775227164041,164.4759259012499,64.64121695589296,29.398307924675688,159138256.2497237,51.84692021695788
4/27/2013,128.0,139.88,122.71,136.9,59881.87,7855443.65,0,1,0,129.14688940071557,102.45892907189628,19.69398950504567,23.57709530103394,8.957362543689797,8.589822910199052,52.63486577397802,54.820659971305595,52.965088474414195,165.90087736286986,68.21626549427299,28.524857358627425,156123266.52034107,54.59690182692698
